GAMEID,cluster
GAME_6666,19
GAME_5036,24
GAME_5992,19
GAME_4161,19
GAME_6012,19
GAME_5633,24
GAME_1444,19
GAME_6418,19
GAME_5747,6
GAME_6372,19
GAME_6626,7
GAME_2870,15
GAME_5254,15
GAME_5614,7
GAME_5954,24
GAME_5369,4
GAME_5263,19
GAME_6783,24
GAME_6375,24
GAME_5830,19
GAME_6417,19
GAME_6371,19
GAME_5816,19
GAME_6748,1
GAME_6534,7
GAME_6578,24
GAME_5941,19
GAME_5873,0
GAME_5517,1
GAME_6373,19
GAME_4448,24
GAME_3460,24
GAME_6715,19
GAME_3916,19
GAME_6703,24
GAME_4155,19
GAME_5831,19
GAME_6274,19
GAME_5580,24
GAME_1593,7
GAME_4663,7
GAME_6723,19
GAME_3437,19
GAME_3930,19
GAME_5977,19
GAME_4741,19
GAME_5602,24
GAME_5380,4
GAME_5820,19
GAME_5897,19
GAME_4735,19
GAME_3451,24
GAME_5376,4
GAME_6577,24
GAME_5955,24
GAME_6013,19
GAME_4159,19
GAME_4738,19
GAME_8039,19
GAME_4510,19
GAME_4953,20
GAME_5433,19
GAME_3777,19
GAME_5264,19
GAME_6784,24
GAME_5375,4
GAME_5334,19
GAME_6376,24
GAME_5635,24
GAME_3172,19
GAME_3750,5
GAME_5818,19
GAME_4938,24
GAME_3225,19
GAME_5400,19
GAME_3774,19
GAME_4701,19
GAME_6535,7
GAME_5817,19
GAME_3340,19
GAME_6006,7
GAME_6653,24
GAME_4951,20
GAME_5372,4
GAME_4167,24
GAME_4165,19
GAME_3177,19
GAME_1464,5
GAME_3780,19
GAME_5998,19
GAME_6014,19
GAME_4752,19
GAME_4714,19
GAME_5377,4
GAME_4703,19
GAME_6413,7
GAME_4626,1
GAME_3166,19
GAME_5265,19
GAME_4152,19
GAME_5371,4
GAME_6299,1
GAME_5325,1
GAME_4381,1
GAME_3495,24
GAME_5929,1
GAME_5401,19
GAME_5617,7
GAME_5373,4
GAME_3176,19
GAME_5834,19
GAME_4550,24
GAME_5836,19
GAME_5319,19
GAME_5402,19
GAME_4742,19
GAME_2442,17
GAME_5835,19
GAME_3837,19
GAME_6179,19
GAME_5619,7
GAME_5783,7
GAME_3603,19
GAME_6180,19
GAME_3606,19
GAME_5169,19
GAME_1608,7
GAME_4770,19
GAME_5883,1
GAME_6532,7
GAME_6002,19
GAME_6599,24
GAME_6701,24
GAME_6576,24
GAME_5802,19
GAME_5885,1
GAME_4499,24
GAME_5859,19
GAME_5350,1
GAME_5331,24
GAME_5683,24
GAME_3275,19
GAME_4865,24
GAME_4323,7
GAME_3595,7
GAME_4418,1
GAME_5141,7
GAME_4955,20
GAME_11039,19
GAME_4715,19
GAME_5923,19
GAME_2326,1
GAME_3751,1
GAME_5661,7
GAME_6301,1
GAME_5175,7
GAME_5388,4
GAME_5322,19
