CASINOID,cluster
CASINO_103,0
CASINO_105,0
CASINO_108,4
CASINO_111,2
CASINO_114,3
CASINO_119,0
CASINO_137,0
CASINO_14,0
CASINO_15,1
CASINO_150,3
CASINO_151,3
CASINO_155,1
CASINO_156,1
CASINO_157,2
CASINO_158,1
CASINO_164,6
CASINO_171,2
CASINO_174,2
CASINO_18,3
CASINO_19,1
CASINO_208,1
CASINO_209,1
CASINO_210,3
CASINO_211,3
CASINO_212,3
CASINO_216,3
CASINO_218,5
CASINO_219,2
CASINO_220,5
CASINO_223,2
CASINO_224,5
CASINO_225,5
CASINO_235,1
CASINO_236,1
CASINO_237,1
CASINO_238,1
CASINO_239,1
CASINO_240,1
CASINO_241,1
CASINO_242,2
CASINO_254,3
CASINO_273,0
CASINO_274,4
CASINO_276,7
CASINO_277,7
CASINO_28,3
CASINO_281,2
CASINO_282,4
CASINO_284,4
CASINO_285,7
CASINO_29,1
CASINO_297,2
CASINO_308,1
CASINO_309,0
CASINO_310,1
CASINO_314,5
CASINO_318,0
CASINO_334,5
CASINO_335,2
CASINO_336,3
CASINO_337,2
CASINO_349,0
CASINO_353,3
CASINO_363,1
CASINO_364,1
CASINO_365,1
CASINO_366,0
CASINO_377,6
CASINO_378,6
CASINO_379,6
CASINO_380,7
CASINO_381,2
CASINO_382,2
CASINO_383,2
CASINO_384,6
CASINO_385,6
CASINO_386,6
CASINO_387,2
CASINO_388,2
CASINO_389,3
CASINO_390,6
CASINO_391,6
CASINO_392,6
CASINO_393,2
CASINO_394,6
CASINO_395,6
CASINO_396,6
CASINO_397,6
CASINO_398,6
CASINO_399,6
CASINO_400,6
CASINO_401,6
CASINO_402,6
CASINO_405,2
CASINO_406,5
CASINO_426,7
CASINO_431,4
CASINO_432,1
CASINO_433,0
CASINO_434,4
CASINO_435,7
CASINO_437,2
CASINO_438,4
CASINO_440,2
CASINO_441,0
CASINO_442,4
CASINO_443,3
CASINO_444,7
CASINO_445,4
CASINO_446,5
CASINO_447,7
CASINO_448,2
CASINO_449,0
CASINO_450,4
CASINO_451,4
CASINO_452,5
CASINO_453,5
CASINO_454,2
CASINO_455,5
CASINO_456,4
CASINO_457,5
CASINO_458,6
CASINO_47,1
CASINO_52,3
CASINO_53,0
CASINO_6,0
CASINO_93,1
CASINO_98,3
CASINO_99,1
